CardId,ContentEn,ContentJpKanji,ContentJp,ContextEn,ContextJP,Property
1,Protection,安全,あんぜん,"For you protection, please fasten your seat belt",安全のためシートベルトを着用してください。,Noun
2,Control,管理,かんり,,,Noun
3,Safeguard,,,,,
4,Incident,,,,,
5,Breach,,,,,
